,fid,shapeGroup,shapeType,shapeName,bbox
178,179,VUT,ADM0,Vanuatu,"166.53128304566803,-20.24547122404972,170.23597454368564,-13.126729425586435"
179,180,VAT,ADM0,Vatican City,"12.445887479199174,41.901404207341386,12.458022323990262,41.90654155677478"
180,181,VEN,ADM0,Venezuela,"-73.36635244666608,0.647672511286291,-59.80649819288807,12.20132528189397"
181,182,VNM,ADM0,Vietnam,"102.14393308144037,8.59375225742136,109.46710617259424,23.392643503561825"
182,183,ZMB,ADM0,Zambia,"21.99933096057774,-17.99652170533876,33.7090105574959,-8.203282323971779"
183,184,ZWE,ADM0,Zimbabwe,"25.23839060142615,-22.42189881186763,33.068220980851095,-15.621175983897034"
184,185,YEM,ADM0,Yemen,"41.81821629414131,12.111227286272298,54.54291231299672,18.999641815685646"
185,186,UKR,ADM0,Ukraine,"22.170545564401667,44.382046522729524,40.22045018061178,52.36419902599832"
186,187,BHR,ADM0,Bahrain,"50.31006653224415,25.556808170509772,50.824290553982735,26.33024101856881"
187,188,KWT,ADM0,Kuwait,"46.55301889562597,28.534328747781732,48.65403460663643,30.103690408086432"
188,189,QAT,ADM0,Qatar,"50.77068442403839,24.48536553864061,51.64735672951937,26.181795751602163"
189,190,ARE,ADM0,United Arab Emirates,"51.5347682210147,22.631525231922826,56.37494888077762,26.06820868079225"
190,191,TUR,ADM0,Turkey,"25.66452373126788,35.81216892870401,44.8181198715788,42.09868370781254"
191,192,ISR,ADM0,Israel,"34.26726263248034,29.490644986788485,35.56832143700288,33.29083189002465"
192,193,BGD,ADM0,Bangladesh,"88.00862915710678,20.726216947546266,92.67992405411269,26.633909535088133"
193,194,MMR,ADM0,Burma,"92.17255219935947,9.785336492711084,101.17016201763073,28.546417874226417"
194,195,IND,ADM0,India,"68.16439528423788,6.75292170482476,97.39537936057985,35.48225545396696"
195,196,BEN,ADM0,Benin,"0.775393111772504,6.234790867506322,3.842609153125094,12.40861237570641"
196,197,NER,ADM0,Niger,"0.178000592701696,11.69374824896771,15.99902516624624,23.514994778960993"
197,198,NGA,ADM0,Nigeria,"2.70671892273356,4.270789722934199,14.645117583666602,13.8856415406358"
198,199,111,DISP,Abyei,"27.833346545649906,9.347225574347904,29.00000434936791,10.166664289556847"
199,200,112,DISP,Aksai Chin,"77.9241203416596,33.386917379431054,80.42171081512396,35.98787309266504"
200,201,113,DISP,CH-IN,"78.49132749767068,30.650673120001844,80.24879436590493,32.703580526993676"
201,202,114,DISP,Demchok,"79.15195700878951,32.520030786119875,79.41332263314644,33.1823841686481"
202,203,115,DISP,Dragonja,"13.581734924185612,45.4621540480878,13.6130827077788,45.478985279565194"
203,204,116,DISP,Dramana-Shakatoe,"89.01518113747386,27.507973355385975,89.15204333556073,27.587991274341245"
204,205,117,DISP,Falkland Islands (UK),"-61.34756198351906,-52.31377029950227,-57.71085473049358,-51.14592341715118"
205,206,118,DISP,Gaza Strip,"34.21871525331605,31.323555479147192,34.56781548632878,31.54139237735181"
206,207,119,DISP,Kalapani,"80.38722805317144,29.760796007003254,81.02940397737541,30.235277615800637"
207,208,120,DISP,Isla Brasilera,"-57.635434108249385,-30.189168922161617,-57.60466853492292,-30.174919779288427"
208,209,121,DISP,Siachen-Saltoro,"76.76046116008553,35.00859316174591,78.0147640016491,35.66324993401159"
209,210,122,DISP,Koualou,"0.916646279562374,11.000010558788405,0.971730327876142,11.02309838957599"
210,211,123,DISP,Liancourt Rocks,"131.86348314237966,37.239194954702,131.87131858827792,37.24284263763295"
211,212,124,DISP,No Man's Land,"34.96591495255717,31.745478688184026,35.495858651497485,32.401674782502226"
212,213,125,DISP,Paracel Is,"112.32284953090817,16.831185943655715,112.33829849567911,16.84200885357333"
213,214,126,DISP,Sanafir & Tiran Is.,"34.49495163217716,27.915372316024165,34.73535768693182,28.000926828813444"
214,215,127,DISP,Senkakus,"123.45793437996832,25.736536434027332,123.49237235651572,25.748203488296337"
215,216,128,DISP,Spratly Is,"114.33411729003188,11.437922854951255,114.33751898082204,11.444525043112007"
216,217,129,DISP,West Bank,"34.917233217177454,31.34570185448324,35.55497538627321,32.450709638207044"
217,218,ESH,DISP,Western Sahara,"-17.058379139265124,20.77912493615739,-8.667611560547757,27.667266360045286"
